//星级|名称
Star_Lv1|一星
Teratre_Explore_41_result2_1|（密码输入错误，警报器突然响起）发现敌人潜入！
Teratre_Explore_41_result3_1|密码输入正确，大门打开了。
Teratre_Explore_42_result1_1|带领一部分坦克兵去牵制住他们的援军，防止两军汇合。
Teratre_Explore_42_result1_2|敌人的援军就在前方，大家冲啊！
Teratre_Explore_42_result1_3|援军已经被消灭，所有人转向机场，前往支援。
Teratre_Explore_42_result2_1|我们今夜就攻占机场，一定要赶在他们的援军达到前救回亨利教授。
Teratre_Explore_42_result2_2|所有人听令，3……2……1……开火！
Teratre_Explore_43_result1_1|摧毁所有敌军战机，一架不留！
Teratre_Explore_44_result1_1|伪装成商旅确实是个好主意，一路上我们都没有受到任何军队攻击。
Teratre_Explore_44_result1_2|替我谢谢你们指挥官的帮助。
Teratre_Explore_44_result2_1|紧急情况，德国军队正在袭击考古学家搭乘的战机。
Teratre_Explore_44_result2_2|准备前往救援，一定要保证飞机安全回航。
Teratre_Explore_45_result1_1|（30分钟过去了……）艾米丽小姐，我们该走了。艾米丽小姐，你还在吗？
Teratre_Explore_45_result1_2|不好！（士兵踹开了门）窗户是开着的。来人啊，艾米丽逃跑了！
Teratre_Explore_45_result2_1|！！（艾米丽正好跳出厕所的窗户）
Teratre_Explore_45_result2_2|快来人，艾米丽逃跑了！快点抓住她！
Teratre_Explore_46_result1_1|虽然消灭了敌人所有的援助军队，但艾米丽还是趁乱逃跑了……
Teratre_Explore_46_result1_2|继续派人追踪！
Teratre_Explore_47_result1_1|你的腿没事吧？
Teratre_Explore_47_result1_2|能没事么！今天上午已经够倒霉了，先被人劫了渔船，
Teratre_Explore_47_result1_3|你们的人还满处乱翻让箱子砸伤了我的腿，快点赔偿！
Teratre_Explore_47_result1_4|赔偿的事好说，是什么人劫了你的船？
Teratre_Explore_47_result1_5|你这人真逗，我怎么知道是什么人。
Teratre_Explore_47_result1_6|不过挺奇怪的，从来没见过劫船，还带着一个17、8岁的小姑娘的。
Teratre_Explore_47_result1_7|赶快报告指挥官，艾米丽逃跑乘坐的是码头的渔船。
Teratre_Explore_47_result2_1|军医快来，这里有人受伤了。
Teratre_Explore_47_result2_2|没有大碍，等下把伤口包扎好就没问题了。
Teratre_Explore_47_result2_3|太感谢了，这里是今天早晨打到的鱼，虽然不值几个钱，但希望你们可以收下它。
Teratre_Explore_48_result1_1|啊！！（士兵被未知身份的男人击晕）
Teratre_Explore_48_result1_2|我得赶快走了，一切靠你了。
Teratre_Explore_48_result1_3|没问题。
Teratre_Explore_48_result1_4|（过了一会巡逻兵发现了晕倒的士兵）他怎么晕倒了……
Teratre_Explore_48_result1_5|刚才我以为有坏人，不小心给他打晕了……赶快扶他去治疗吧
Teratre_Explore_48_result2_1|我沉睡的时候听到艾米丽和一个陌生男人秘密交谈，似乎明天要谋划一些事情。
Teratre_Explore_48_result2_2|他们都说了什么？
Teratre_Explore_48_result2_3|呃……因为我睡的太沉了……内容记不清了……
Teratre_Explore_48_result2_4|……好吧，你回去继续盯紧艾米丽，有什么事情立刻向我汇报。
Teratre_Explore_49_result1_1|不要在战斗上浪费时间，我们绕路赶去港口，一定要在尽快找到艾米丽。
Teratre_Explore_49_result2_1|全员注意！消灭这些拦路的小喽啰！
Teratre_Explore_49_result2_2|哼，这点兵力就想拦住我们？全员听令，继续向港口方向追踪！
Teratre_Explore_50_result1_1|不要惊慌，正好趁这次战役让他们见识下我们的实力！全员准备作战！
Teratre_Explore_50_result2_2|现在我们并不清楚敌人的具体数量，还是先撤退到安全区域再做打算。
Teratre_Explore_51_result1_1|哈哈，里面的钱还挺多，钱包也挺精致，回家的时候可以送给我妹妹。
Teratre_Explore_51_result1_2|等下，你看这里面的证件！
Teratre_Explore_51_result1_3|这个照片不是艾米丽吗？上面写着“德国情报员”。
Teratre_Explore_51_result1_4|原来她是德国派来的卧底，我们快点把这件事告诉长官。
Teratre_Explore_51_result2_1|（快速把钱包收回兜里）等晚点回去咱们再分赃，哈哈。
Teratre_Explore_51_result2_2|到时候你可别抵赖啊。
Teratre_Explore_52_result1_1|继续追击，一定要抓住这个卧底！
Teratre_Explore_53_result1_2|哎，咱们这些老战士，辛苦一辈子，到头来还得被派来守船巡逻。
Teratre_Explore_53_result1_3|还不是新来的士官宠信新兵，咱们还是继续喝酒吧……
Teratre_Explore_53_result1_4|酒没了，等我接点回来，咱们再接着喝。
Teratre_Explore_53_result1_5|（敌军士兵来到酒桶前发现了侦察兵）快来人啊！甲板发现潜入者！
Teratre_Explore_53_result2_1|哎，咱们这些老战士，辛苦一辈子，到头来还得被派来守船巡逻。
Teratre_Explore_53_result2_2|还不是新来的士官宠信新兵，不如那些年轻人身强力壮。哇……
Teratre_Explore_53_result2_3|看你这吐的这一身，岁数大了，酒量都不如以前了……快把賍衣服脱下来。
Teratre_Explore_53_result2_4|天助我也（士兵偷偷捡起了地上的军服，换了起来）
Teratre_Explore_53_result3_1|站住！你是谁？
Teratre_Explore_53_result3_2|身份暴露了……赶快逃……
Teratre_Explore_53_result3_3|甲板发现敌人，大家赶快围捕！
Teratre_Explore_54_result1_1|我在这呆的已经太久了，需要马上返回营地，把探听消息告诉指挥官。
Teratre_Explore_54_result2_1|到底是什么样的战车？
Teratre_Explore_54_result2_2|黄金制造的……（这时敌人巡逻兵恰好巡逻到门外）
Teratre_Explore_54_result2_3|有人潜入舰艇，快点抓住他！
Teratre_Explore_55_result1_1|收到第五小队的回复信息。他们遭到后方敌人的突袭，请求部队支援。
Teratre_Explore_55_result1_2|全员立刻掉头支援，让这些不知道天高地厚的敌人尝尝我们的厉害！
Teratre_Explore_55_result2_1|侦察兵回报，第五小队在后方遭到敌人的突袭，刚刚大获全胜。
Teratre_Explore_56_result1_1|我们活捉了德国的一名巡逻兵，等待您的指示。
Teratre_Explore_56_result1_2|把他带来，也许从他身上能得到一些扭转战局的消息。
Teratre_Explore_57_result1_1|指挥官，我们在废墟中并没有发现米菲尔的尸体。
Teratre_Explore_57_result1_2|继续派人寻找，一定不能让她逃回德国。
Teratre_Explore_58_result1_1|我们把基地后发进行了地毯式搜索，虽然没找到通往地下基地的路，
Teratre_Explore_58_result1_2|但我们发现了一个隐蔽的山洞，里面储存了大量军火。
Teratre_Explore_58_result1_3|派一部分人把军火装车，然后继续找寻地下基地入口。
Teratre_Explore_58_result2_1|指挥官，我们在树林中找到通往地下基地的路。
Teratre_Explore_58_result2_2|做得好，马上集结坦克部队，进入地下开展救援！
Teratre_Explore_58_result3_1|看我如何用大炮炸出一条通往地下基地的路。
Teratre_Explore_58_result3_2|别炸了，行动前能不能先动动脑子！
Teratre_Explore_58_result3_3|我觉得这个主意挺不错啊。
Teratre_Explore_58_result3_4|哪里不错！就算洞口炸出来了，但是我们的坦克要如何进入地下！
Teratre_Explore_58_result3_5|好吧，是我考虑的不周全……
Teratre_Explore_59_result1_1|（士兵捡起地上的木棍，击晕研究员，同时解救了所有人质）你们赶快回家吧。
Teratre_Explore_59_result1_2|感谢你的救命之恩！
Teratre_Explore_59_result2_1|（士兵冲进实验室将药剂全部砸的稀烂）
Teratre_Explore_59_result2_2|不！不……药剂……混合……产生毒气……
Teratre_Explore_59_result2_3|（研究员倒在了地上，研究室内的所有人也无一幸免）
Teratre_Explore_59_result2_4|我到底都做了些什么……
Teratre_Explore_60_result1_1|通讯室并没有发现可疑人员，不过在通讯设备边上发现一张纸条，
Teratre_Explore_60_result1_2|上面写着：遗迹找到，全员速回。
Teratre_Explore_60_result1_3|看来我们要尽快赶往德国才能继续打探遗迹的消息。
Teratre_Explore_60_result2_1|奇怪？搜索了半天，一个人都没有？（突然士兵脚下踩的石砖发出了不同的声音）
Teratre_Explore_60_result2_2|这块石砖下面是空的，赶快挪开它。
Teratre_Explore_60_result2_3|……不要伤害我，我是德国的翻译官，我可以为你们提供很多有利的消息。
Teratre_Explore_60_result3_1|指挥官，我们已在地下室缴获大量军火。
Teratre_Explore_60_result3_2|做得好！我们的战争实力又得到了加强！
Teratre_Explore_61_result1_1|全员准备开战！
Teratre_Explore_63_result1_1|站住！银行暂时不营业，赶快离开。
Teratre_Explore_63_result1_2|银行为什么会关闭？附近还有这么多巡逻车？
Teratre_Explore_63_result1_3|有个犯罪团伙抢劫了银行，劫走大批纸钞，所以派军队支援防止歹徒再次犯案。
Teratre_Explore_63_result1_4|……（派来军队支援，同时让银行停止营业？这件事有问题，他肯定在说谎。）
Teratre_Explore_63_result2_1|听说你以前是中央银行的员工，为什么会突然被辞退呢？
Teratre_Explore_63_result2_2|这件事很奇怪，两个月前银行才开业，但前阵突然有军队入驻，
Teratre_Explore_63_result2_3|强制将银行所有员工都裁了员，而且派了军队日夜看守。
Teratre_Explore_63_result2_4|军队入驻前有没有发现奇怪的事情？
Teratre_Explore_63_result2_5|确实有一件，军队入驻前一天，有个值班员突然发疯，嘴里一直说：传说是真的，
Teratre_Explore_63_result2_6|这次发财了。但第二天他就没再出现过，同时军队也入驻并驱赶了所有银行员工。
Teratre_Explore_63_result2_7|原来如此……（传说指的应该是宝藏，发财也许说的就是黄金，消息应该不假）
Teratre_Explore_63_result3_1|潜入银行有什么发现？
Teratre_Explore_63_result3_2|银行的兵力分布很奇怪，银行外可以说重兵把守，但银行内并没有存放贵重物品，
Teratre_Explore_63_result3_3|也没几个人巡逻，似乎军队想要看守的东西并非在银行大厅内。
Teratre_Explore_63_result3_4|也许真像敌人俘虏所说，银行就盖在宝藏上面，而宝藏的入口非常隐蔽。
Teratre_Explore_64_result1_1|银行内所有的地面和墙壁都已经敲击过了，并没有声音特别的地方。
Teratre_Explore_64_result1_2|看来银行内没有藏着隐蔽的密室或者暗道。
Teratre_Explore_64_result2_1|太奇怪了，这么小的花瓶为什么会搬不起来？
Teratre_Explore_64_result2_2|等等，（士官旋转了花瓶）突然银行外传出了响动。
Teratre_Explore_64_result2_3|指挥官，花园出现了一个通往地下的暗道。
Teratre_Explore_64_result2_4|这应该是通往宝藏的暗道，大家下去后要格外小心点，一定会有敌人在下面看守。
Teratre_Explore_65_result1_5|全员准备，攻破炮塔。
Teratre_Explore_66_result1_1|大获全胜，我们的部队无人能敌！
Teratre_Explore_67_result1_2|我父母身体一直不好，常年在外没法照顾他们，我只是想给他们偷偷寄去一些钱，
Teratre_Explore_67_result1_3|能不能网开一面不要把我赶走？
Teratre_Explore_67_result1_4|部队有部队的纪律，如果包庇了这件事，以后相同的事件还会发生，你还是走吧。
Teratre_Explore_67_result1_5|（小兵临走前）你把这点钱拿着，回去好好照顾你父母。
Teratre_Explore_67_result1_6|谢谢您，指挥官。
Teratre_Explore_67_result2_1|我父母身体一直不好，常年在外没法照顾他们，我只是想给他们偷偷寄去一些钱，
Teratre_Explore_67_result2_2|既然事情做错了，就要为自己的过失承担责任。一切按照军法处理。
Teratre_Explore_68_result1_1|这张图有些奇怪，遗迹的通路构成一个环形，但中间一片区域却没任何移动空间。
Teratre_Explore_68_result1_2|难道说遗迹中心位置有密室或者暗道？
Teratre_Explore_68_result1_3|很有可能，多派几个人前往查看一下，也许会有意外收获。
Teratre_Explore_69_result1_1|这场战斗赢得漂亮，准备赶路返回总部。
Teratre_Explore_70_result1_1|我以为你们的人已经从这里全部撤离了……就想回来找些遗留下的金币……
Teratre_Explore_70_result2_1|我只知道我们部队除了运走一批黄金以外，似乎还运走一批类似图纸之类的东西，
Teratre_Explore_70_result2_2|但是图纸的内容就不知道了。
Teratre_Explore_71_result1_1|从绘制的遗迹地图上看，遗迹中心有一个秘密区域，里面可能储藏着重要的宝物。
Teratre_Explore_71_result1_2|应该有？那就是不确定喽？按照原定计划尽快返回总部，违者按违反军令处理。
Teratre_Explore_71_result1_3|对不起，我会让大部队先把黄金运回去。
Teratre_Explore_71_result1_4|这件事非常重要，等事情结束我会亲自返回总部说明情况。
Teratre_Explore_71_result2_1|我们已经从敌方俘虏身上得到了先进科技的图纸消息。
Teratre_Explore_71_result2_2|我会先让大部队带着黄金返回总部，留下一部分人寻找图纸，最多需要十天时间。
Teratre_Explore_71_result2_3|好吧，我会向总部反应这里的情况。
Teratre_Explore_71_result2_4|在没有得到最新指示前，你可以留下一批人继续打探科技图纸的消息。
Teratre_Explore_72_result1_1|我们的兵力不足，先加速绕路行驶，追上大部队在做打算。
Teratre_Explore_72_result2_1|战士们，拿出你们的勇气，将敌人统统消灭！
Teratre_Explore_73_result1_1|战斗胜利了，你们的英勇一定会得到总部的嘉奖！
Teratre_Explore_74_result1_1|全员准备战斗！
Teratre_Explore_75_result1_1|哈哈哈，笨老鼠，果然上当了。
Teratre_Explore_75_result2_1|（士兵用手碰到老鼠洞内的机关，遗迹的墙壁上出现个暗门。指挥官，发现密室。
Teratre_Explore_75_result3_1|唉，到处都找不到老鼠的影子。
Teratre_Explore_76_result1_1|立刻前往消灭他们。
Teratre_Explore_77_result1_1|这个黄金战车的战斗力真是太可怕了，幸亏及早消灭了它。
Teratre_Explore_77_result1_2|快点派医务兵来查看下伤员情形。
Teratre_Explore_78_result1_1|马上让我们的士兵准备埋伏在粮车经过的地方，将它一举拿下！
Teratre_Explore_78_result2_1|经过上一次战役，我们所剩的兵力不多，况且士兵们的伤势也还未恢复。
Teratre_Explore_78_result2_2|现在大家需要养精蓄锐，才能更好的迎接下一场战斗。
Teratre_Explore_79_result1_1|保险箱没有反应，看来输入的密码是错的。
Teratre_Explore_79_result2_1|保险箱打开了，我的判断果然没错。
Teratre_Explore_79_result2_2|保险箱没有反应，看来输入的密码是错的。
Teratre_Explore_80_result1_1|我们找遍了地下遗迹也没有发现逃跑俘虏的踪影。
Teratre_Explore_80_result2_1|指挥官，逃跑的俘虏乘上了那辆坦克。
Teratre_Explore_80_result2_2|准备开火，摧毁那辆坦克。
Teratre_Explore_80_result2_3|做得漂亮，我们成功了阻止下一步的战略泄露。
Teratre_Explore_81_result1_1|你们为什么向南逃跑？
Teratre_Explore_81_result1_2|德国军队不知道从哪搞来一批黄金战车，这些天一直在郊外做军事演习。
Teratre_Explore_81_result1_3|由于战车火力太强，波及到了我们的村庄，以致不少居民都受了重伤。
Teratre_Explore_81_result1_4|看来我们必须快点尽快阻止黄金战车的生产。
Teratre_Explore_81_result2_1|原来是德国军队在郊外做新型战车的军事演习。
Teratre_Explore_81_result2_2|这黄金战车的破坏力太强了，一炮下去旁边的村庄都被夷为了平地。
Teratre_Explore_81_result2_3|糟糕，我们的行踪被敌人发现了，全员准备开战！
Teratre_Explore_82_result1_1|继续追击德国坦克兵。
Teratre_Explore_82_result2_1|不用理会这些失败者。
Teratre_Explore_83_result1_1|黄金坦克机体非常重，行驶过程中比一般坦克需要消耗的燃料更多。
Teratre_Explore_83_result1_2|如果战斗中我军保持移动可以将它的燃料尽快消耗，这样他们就没有还手之力了。
Teratre_Explore_83_result2_1|黄金战车做工精良，这种复合材料更不易被破坏，从防护角度说简直无懈可击。
Teratre_Explore_83_result2_2|哎，难道这种战车真的没有弱点吗？
Teratre_Explore_83_result3_1|黄金战车既能装载发射低速炮弹，又能发射反坦克导弹，具有更大的破坏力，
Teratre_Explore_83_result3_2|但两种弹药的切换过程需要消耗较长的时间。
Teratre_Explore_83_result3_3|那我们可以先派步兵使用火箭筒攻击，当引开其注意时派遣火炮强攻，
Teratre_Explore_83_result3_4|趁它更换炮弹的时间间隙将它迅速击毁。
Teratre_Explore_85_result1_1|全员准备……3……2……1……开火！
Teratre_Explore_86_result1_1|你的父亲已经疯了，快带他离开这个是非之地，越远越好。
Teratre_Explore_86_result1_2|谢谢你，我一定不会再让他去制造这种害人的机器了。
Teratre_Explore_86_result2_1|你居然破坏我的杰作！（博士乘上一辆试验机）
Teratre_Explore_86_result2_2|指挥官，小心！
Teratre_Explore_86_result2_3|你的父亲还活着，快带他离开这里，再也不要回来了。
Teratre_Explore_86_result2_4|谢谢你对他的宽恕。
Teratre_Explore_86_result3_1|无人驾驶的黄金战车队？指挥官小心身后！
Teratre_Explore_86_result3_2|我的作品居然会这么不堪一击！（说完博士晕倒在地上）
Teratre_Explore_86_result3_3|快带他远离这里，再也不要回来了。
Teratre_Explore_86_result3_4|谢谢你对他的宽恕。
Teratre_Explore_87_result1_1|这是铝矿石……请问这些矿石是在哪里找到的？
Teratre_Explore_87_result1_2|就在西边不远的山下，很多这样的石头。
Teratre_Explore_87_result1_3|我要马上把铝矿的消息汇报给指挥官。
Teratre_Explore_87_result2_1|现在没空去和别人闲聊，我得赶快回到营地汇报附近的战况了。
Teratre_Explore_88_result1_1|我们在森林中不光成功开采了地下水源，还在发现一大片果树林，
Teratre_Explore_88_result1_2|这下我们的食物供给也有了保障。
Teratre_Explore_88_result2_1|为什么开采了这么久还是没有见到水源。
Teratre_Explore_88_result2_2|我们再试着再向下挖几米。
Teratre_Explore_88_result2_3|（突然地下喷出黑色的液体）这是什么？
Teratre_Explore_88_result2_4|是石油！快点把这个好消息向指挥官汇报。
Teratre_Explore_89_result1_1|全员准备战斗，让他们尝尝我们军队的厉害。
Teratre_Explore_90_result1_1|哈哈，大获全胜！短时间内他们一定不敢再来抢夺我们的石油了。
Teratre_Explore_91_result1_1|今天我们就正式签署同盟合约，相信我们一定可以在这片土地上站稳脚跟。
Teratre_Explore_91_result2_1|对不起，我们暂时没有结盟的打算，您先请回吧。
Teratre_Explore_92_result1_1|士兵们，拿出你们的勇气，我们一定要把这些入侵者统统赶走。
Teratre_Explore_93_result1_1|战斗胜利，所有的俘虏都已成功解救！
//装备相关错误提示文字
Equip_Refine_Limit|精进次数已达上限
//装备限制车型
typename_Tank|坦克
typename_Anti_Tank|歼击车
typename_Artillery|自行火炮
typename_No_Limit|不限
//活动说明相关战争之路
Activity_RuleName_1|龙骑兵行动
Activity_RuleName_2|巴巴罗萨计划
Activity_RuleName_3|霸王行动
Activity_RuleName_4|蓝色行动
Activity_RuleName_5|荣誉勋章
Activity_RuleName_6|阿登突击
Activity_RuleName_7|红球传递行动
Activity_RuleName_8|霸王行动
Activity_RuleName_gold|夺宝奇兵
Activity_RuleName_exp|抢滩登陆
Activity_RuleName_101|领土守卫战
Activity_RuleSurvey_1|盟军必须在法国沿岸取得更多的港口设施。盟军意图在马赛港展开军事行动来扩展在德国的战略成果。指挥官考验你运气的时刻到的。占领这座城市!选择属于你的幸运目标。
Activity_RuleSurvey_2|德国对苏联的入侵刚刚拉开序幕，南方集团军群，中央集团军群，北方集团军群开始向苏联大踏步挺进。指挥官你表现的时刻到了！勇往直前！赢取属于你的“勇气奖章”。
Activity_RuleSurvey_3|盟军为了对德国实施战略夹击，而德国的补给线也主要沿南部地带分布，因此南部是双方反复争夺点。包围一支部队，切断补给品，让他们弹尽粮绝！
Activity_RuleSurvey_4|盟军在登陆港口时，损失了所有通讯设备，该部队与主力失去了联系，又遭到德军的登陆袭击。直到第二天缴获了德军的通讯后才联系上主力把部队，在增援部队达到前，坚守住我方阵地！
Activity_RuleDetail_1|规则说明：\n1.活动地图分为4个区域，每个区域都有一名指挥官驻守；\n2.击杀指挥官将直接获得该区域所有奖励物资；\n3.地图中隐藏着宝藏，幸运的指挥官可以找到“宝藏点”获得额外奖励；\n4.每次行动将增加冷却时间，冷却时间大于15分钟后部队需要停下来进行补给；
Activity_RuleDetail_2|规则说明：\n1.玩家需要进行15场战斗，每胜利一场可能拜访到高级指挥官，可能遇见前哨，还有可能获得战斗物资；\n2.不管是否通关，第二天都可以重置巴巴罗萨，巴巴罗萨不会自动重置，必须由玩家手动操作；\n3.战斗胜利可获得奖励，同时开启下一关，但在战斗中阵亡的单位将不能再次出战，直到重置为止；\n4.玩家获得的“勇气奖章”可以在商店中购买稀有道具；
Activity_RuleDetail_3|规则说明：\n1.突袭敌军运输火车，切断其战场补给运输。\n2.战斗中，面对没有作战能力的敌人，输出是唯一要考虑的问题，请换上最强力的坦克对敌人轰炸。\n3.尽可能摧毁更多的运输品，将会获得更多的金币奖励。
Activity_RuleDetail_4|规则说明：\n1.我军被围困在小岛，在援军到达前，坚守住阵地。\n2.敌军从四面八方来袭，坦克需要做好承受伤害的准备。\n3.战斗中，对面大量突如袭来的敌军，请换上续航能力强的坦克和强力AOE指挥官。\n4.坚持越久的时间可获得更多的坦克徽章。
Activity_open_Time01|每周六、日开启
Activity_open_Time02|每周一、三、五、日开启
Activity_open_Time03|每周二、四、六、日开启
Activity_open_Time04|每周一、三、五、日开启
Activity_open_Time05|Lv.21开启
Activity_open_Time06|活动准备中，敬请期待！
Activity_open_Time07|活动准备中，敬请期待！
Activity_open_Level|解锁等级
Activity_open_Level_En|Lv.
Activity_open_Stay| 
Activity_open_101|活动开放时间\n1.每周一至周五14:00-20:00\n2.每周一0点自动重置进度
Recommend_Point|推荐指数
Open_lvevl|级
Activity_level|活跃
Activity_level01|活跃度奖励：
Activity_levelreward|活跃度奖励
Activity_reward|活动奖励
Activity_Exp|经验值
Activity_Unopen|活动尚未开启
Activity_Name01|夺宝奇兵
Activity_Name02|抢滩登陆
Activity_Name03|驻守反击
Activity_Name04|蝮蛇突袭
Activity_Name05|机场突袭
AlameinName_231000|夺宝奇兵
AlameinName_232000|抢滩登陆
AlameinDamage_01|每日累计造成伤害：
Index_Num|关
Index_Times|次
Activity_Level01|一级奖励
Activity_Level02|二级奖励
Activity_Level03|三级奖励
Activity_Level04|四级奖励
Activity_Level05|五级奖励
Activity_Times|今日剩余次数：
Activity_Logo_pvp01|巅峰战术对决
Activity_Logo_pvp02|胜者为王！
Activity_Logo_pvp03|力压万人登顶！
Activity_Logo_pvp04|海量荣誉奖励！
Activity_Logo_longe01|探索神秘宝藏
Activity_Logo_longe02|幸运女神在召唤！
Activity_Logo_longe03|命运的对决永无止境！
Activity_Logo_longe04|揭开隐藏在战场中的秘密！
Activity_Logo_strategy01|策略征服天下
Activity_Logo_strategy02|攻城掠地！
Activity_Logo_strategy03|资源争夺！
Activity_Logo_strategy04|击破敌方无尽封锁！
Activity_Logo_breakout01|极限征服之路
Activity_Logo_breakout02|强敌不断！
Activity_Logo_breakout03|突破自身极限！
Activity_Logo_breakout04|豪取资源大奖！
Activity_Logo_blue01|强袭机场支援
Activity_Logo_blue02|极限输出！
Activity_Logo_blue03|精准战术打击！
Activity_Logo_blue04|掠夺无尽物资！
Activity_Logo_war01|限时奖励活动
Activity_Logo_war02|活动挑战登顶！
Activity_Logo_war03|突破自身极限！！
Activity_Logo_war04|豪取资源大奖！！！
Activity_Logo_lock01|活动准备中！敬请期待！
Activity_Logo_lock02|充值功能暂未开启，敬请期待！
Activity_Logo_lock03|敬请期待！
Activity_Logo_legionboss01|军团合力抗敌
Activity_Logo_legionboss02|能力凝聚！
Activity_Logo_legionboss03|力挫终极强敌！
Activity_Logo_legionboss04|海量资源奖励！
Activity_Logo_pvp05|海量资源奖励！
OilName_10001|燃油补给
OilName_10002|燃油补给
OilName_10003|燃油补给
//霸王行动活动
typename23101|夺宝奇兵
typename23201|抢滩登陆
typename23301|驻守反击
typename23401|蝮蛇突袭
reward_info23101|金币奖励
reward_info23201|坦克经验
reward_info23301|战略资源
reward_info23401|强化材料
battleui_damage|伤害
battleui_wave|波次
battleui_disable|击杀
battleui_troops|当前编队没有内没有坦克
battleui_money|全力破坏敌军运输品
battleui_guard|全力抵挡敌军登陆
total_damage|累计造成伤害
total_gold|累计造成伤害
//巴巴罗萨
Barbarossa_buff1_name|暴击提升
Barbarossa_buff2_name|闪避提升
Barbarossa_buff3_name|装甲提升
Barbarossa_buff4_name|免伤提升
Barbarossa_buff5_name|耐久提升
Barbarossa_buff6_name|攻击提升
Barbarossa_buff7_name|防御提升
Barbarossa_buff1_level1|提升5%暴击
Barbarossa_buff1_level2|提升10%暴击
Barbarossa_buff1_level3|提升15%暴击
Barbarossa_buff1_level4|提升20%暴击
Barbarossa_buff1_level5|提升25%暴击
Barbarossa_buff1_level6|提升30%暴击
Barbarossa_buff2_level1|提升5%闪避
Barbarossa_buff2_level2|提升10%闪避
Barbarossa_buff2_level3|提升15%闪避
Barbarossa_buff2_level4|提升20%闪避
Barbarossa_buff2_level5|提升25%闪避
Barbarossa_buff2_level6|提升30%闪避
Barbarossa_buff3_level1|提升5%装甲
Barbarossa_buff3_level2|提升10%装甲
Barbarossa_buff3_level3|提升15%装甲
Barbarossa_buff3_level4|提升20%装甲
Barbarossa_buff3_level5|提升25%装甲
Barbarossa_buff3_level6|提升30%装甲
Barbarossa_buff4_level1|提升5%免伤
Barbarossa_buff4_level2|提升10%免伤
Barbarossa_buff4_level3|提升15%免伤
Barbarossa_buff4_level4|提升20%免伤
Barbarossa_buff4_level5|提升25%免伤
Barbarossa_buff4_level6|提升30%免伤
Barbarossa_buff5_level1|提升10%耐久
Barbarossa_buff5_level2|提升20%耐久
Barbarossa_buff5_level3|提升30%耐久
Barbarossa_buff5_level4|提升40%耐久
Barbarossa_buff5_level5|提升50%耐久
Barbarossa_buff5_level6|提升60%耐久
Barbarossa_buff6_level1|提升10%攻击
Barbarossa_buff6_level2|提升20%攻击
Barbarossa_buff6_level3|提升30%攻击
Barbarossa_buff6_level4|提升40%攻击
Barbarossa_buff6_level5|提升50%攻击
Barbarossa_buff6_level6|提升60%攻击
Barbarossa_buff7_level1|提升10%防御
Barbarossa_buff7_level2|提升20%防御
Barbarossa_buff7_level3|提升30%防御
Barbarossa_buff7_level4|提升40%防御
Barbarossa_buff7_level5|提升50%防御
Barbarossa_buff7_level6|提升60%防御
Barbarossa_confirm_choice|是否确认选择
Barbarossa_friendly_reminder|友情提示
Barbarossa_reward_preview|奖励预览
Barbarossa_reward_prompt01|到这里可以领取以下奖励
Barbarossa_confirm|确定
Barbarossa_reward_prompt02|本次可能获得
Barbarossa_free|免费
Barbarossa_material|战略物资
Barbarossa_cancel|取消
Barbarossa_obtain|获取
Activity_introduce01|点击选择需要的增益BUFF
Activity_introduce02|巴巴罗萨活动介绍02
tips_num|复活次数不足，请提升VIP等级。
Activity_chouse|请选择作战编队
Activity_star|作战开始
Activity_clear|扫荡关卡
Activity_clear_detail|扫荡关卡至最高历史记录需要花费：
Activity_clear_times|（今日已扫荡${clearCount}次）
BarbarossaRobotName_01|谦虚的戴维斯
BarbarossaRobotName_02|客观的米勒
BarbarossaRobotName_03|教养的加西亚
BarbarossaRobotName_04|直爽的德里格斯
BarbarossaRobotName_05|实际的史密斯
BarbarossaRobotName_06|腼腆的约翰逊
BarbarossaRobotName_07|温和的威尔逊
BarbarossaRobotName_08|体贴的马丁内兹
BarbarossaRobotName_09|认真的安德森
BarbarossaRobotName_10|机灵的泰勒
BarbarossaRobotName_11|自觉的威廉姆斯
BarbarossaRobotName_12|聪明的马丁
BarbarossaRobotName_13|能干的杰克逊
BarbarossaRobotName_14|谦虚的汤普森
BarbarossaRobotName_15|客观的怀特
BarbarossaRobotName_16|教养的布朗
BarbarossaRobotName_17|直爽的琼斯
BarbarossaRobotName_18|实际的托马斯
BarbarossaRobotName_19|腼腆的克拉克
BarbarossaRobotName_20|温和的刘易斯
BarbarossaRobotName_21|体贴的鲁宾逊
BarbarossaRobotName_22|认真的沃克
BarbarossaRobotName_23|机灵的佩雷斯
BarbarossaRobotName_24|自觉的赫尔南德
BarbarossaRobotName_25|聪明的摩尔
BarbarossaRobotName_26|能干的洛佩兹
BarbarossaRobotName_27|谦虚的李
BarbarossaRobotName_28|客观的冈萨雷斯
BarbarossaRobotName_29|教养的哈里斯
BarbarossaRobotName_30|直爽的霍尔
BarbarossaRobotName_31|实际的赖特
BarbarossaRobotName_32|腼腆的金
BarbarossaRobotName_33|温和的斯科特
BarbarossaRobotName_34|体贴的杨
BarbarossaRobotName_35|认真的艾伦
BarbarossaRobotName_36|机灵的纳尔逊
BarbarossaRobotName_37|自觉的希尔
BarbarossaRobotName_38|聪明的拉米瑞兹
BarbarossaRobotName_39|能干的卡特
BarbarossaRobotName_40|谦虚的菲利普斯
